"Bitcoin
(BTC)";"6231.25
USD"
"Ethereum
(ETH)";"432.69
USD"
"XRP
(XRP)";"0.435827
USD"
"Bitcoin Cash
(BCH)";"692.46
USD"
"EOS
(EOS)";"6.88
USD"
"Litecoin
(LTC)";"76.40
USD"
"Stellar
(XLM)";"0.198317
USD"
"Cardano
(ADA)";"0.133949
USD"
"Tether
(USDT)";"1.00
USD"
"IOTA
(MIOTA)";"0.957879
USD"
"TRON
(TRX)";"0.032843
USD"
"NEO
(NEO)";"31.84
USD"
"Monero
(XMR)";"121.52
USD"
"Dash
(DASH)";"219.21
USD"
"Ethereum Classic
(ETC)";"16.18
USD"
"NEM
(XEM)";"0.158396
USD"
"Binance Coin
(BNB)";"12.02
USD"
"Tezos
(XTZ)";"1.97
USD"
"VeChain
(VEN)";"1.88
USD"
"OmiseGO
(OMG)";"6.75
USD"
"Zcash
(ZEC)";"173.09
USD"
"Qtum
(QTUM)";"7.55
USD"
"Lisk
(LSK)";"4.89
USD"
"Bytecoin
(BCN)";"0.002807
USD"
"0x
(ZRX)";"0.937770
USD"
"ICON
(ICX)";"1.29
USD"
"Zilliqa
(ZIL)";"0.066131
USD"
"Ontology
(ONT)";"3.29
USD"
"Bitcoin Gold
(BTG)";"26.99
USD"
"Decred
(DCR)";"56.70
USD"
"BitShares
(BTS)";"0.157423
USD"
"Aeternity
(AE)";"1.68
USD"
"Maker
(MKR)";"557.91
USD"
"Siacoin
(SC)";"0.010168
USD"
"DigiByte
(DGB)";"0.034286
USD"
"Steem
(STEEM)";"1.29
USD"
"Basic Attention Token
(BAT)";"0.324285
USD"
"Verge
(XVG)";"0.021649
USD"
"Augur
(REP)";"27.98
USD"
"Nano
(NANO)";"2.28
USD"
"Bitcoin Diamond
(BCD)";"1.97
USD"
"Bytom
(BTM)";"0.289644
USD"
"KuCoin Shares
(KCS)";"3.20
USD"
"Pundi X
(NPXS)";"0.003297
USD"
"Dogecoin
(DOGE)";"0.002334
USD"
"Waves
(WAVES)";"2.68
USD"
"Waltonchain
(WTC)";"6.32
USD"
"Mixin
(XIN)";"537.78
USD"
"Golem
(GNT)";"0.280179
USD"
"RChain
(RHOC)";"0.640793
USD"
"Stratis
(STRAT)";"2.29
USD"
"Populous
(PPT)";"6.12
USD"
"Status
(SNT)";"0.065140
USD"
"Wanchain
(WAN)";"1.98
USD"
"Hshare
(HSR)";"4.71
USD"
"Mithril
(MITH)";"0.534538
USD"
"DigixDAO
(DGD)";"89.22
USD"
"IOST
(IOST)";"0.019958
USD"
"Bitcoin Private
(BTCP)";"7.94
USD"
"Aion
(AION)";"0.907297
USD"
"MaidSafeCoin
(MAID)";"0.351649
USD"
"Huobi Token
(HT)";"3.17
USD"
"Komodo
(KMD)";"1.48
USD"
"GXChain
(GXS)";"2.53
USD"
"Ardor
(ARDR)";"0.146382
USD"
"Loopring
(LRC)";"0.253276
USD"
"aelf
(ELF)";"0.572388
USD"
"Nebulas
(NAS)";"3.10
USD"
"Ark
(ARK)";"1.24
USD"
"MonaCoin
(MONA)";"2.10
USD"
"ReddCoin
(RDD)";"0.004197
USD"
"Kyber Network
(KNC)";"0.884507
USD"
"FunFair
(FUN)";"0.023414
USD"
"Loom Network
(LOOM)";"0.188910
USD"
"Emercoin
(EMC)";"2.66
USD"
"Gas
(GAS)";"10.46
USD"
"Dentacoin
(DCN)";"0.000325
USD"
"MOAC
(MOAC)";"2.94
USD"
"Power Ledger
(POWR)";"0.281767
USD"
"Dropil
(DROP)";"0.005254
USD"
"WAX
(WAX)";"0.111892
USD"
"Bancor
(BNT)";"2.04
USD"
"Kin
(KIN)";"0.000138
USD"
"Ethos
(ETHOS)";"1.31
USD"
"MCO
(MCO)";"6.40
USD"
"PIVX
(PIVX)";"1.76
USD"
"Cryptonex
(CNX)";"2.18
USD"
"Nuls
(NULS)";"2.42
USD"
"Decentraland
(MANA)";"0.091928
USD"
"Veritaseum
(VERI)";"46.82
USD"
"CyberMiles
(CMT)";"0.136752
USD"
"Paypex
(PAYX)";"1.35
USD"
