"Ternio
(TERN)";"0.059726
USD"
"Cryptonex
(CNX)";"2.17
USD"
"Synereo
(AMP)";"0.109082
USD"
"Hive Project
(HVN)";"0.037653
USD"
"U Network
(UUU)";"0.002067
USD"
"Spectre.ai Dividend Token
(SXDT)";"0.204776
USD"
"ECC
(ECC)";"0.000501
USD"
"Gulden
(NLG)";"0.057023
USD"
"Banca
(BANCA)";"0.000841
USD"
"Mainframe
(MFT)";"0.015316
USD"
"Mithril
(MITH)";"0.535559
USD"
"Lympo
(LYM)";"0.025834
USD"
"Dynamic Trading Rights
(DTR)";"0.032824
USD"
"DEW
(DEW)";"0.368277
USD"
"Melon
(MLN)";"22.12
USD"
"PCHAIN
(PAI)";"0.048257
USD"
"Cryptaur
(CPT)";"0.002980
USD"
"All Sports
(SOC)";"0.041861
USD"
"Decentraland
(MANA)";"0.091814
USD"
"Metal
(MTL)";"1.17
USD"
"Substratum
(SUB)";"0.200582
USD"
"DeepBrain Chain
(DBC)";"0.033903
USD"
"Ravencoin
(RVN)";"0.014176
USD"
"Dragonchain
(DRGN)";"0.261388
USD"
"Santiment Network Token
(SAN)";"0.883797
USD"
"Quantum
(QAU)";"0.137437
USD"
"Electra
(ECA)";"0.001061
USD"
eta Token
(THETA)";"0.123228
USD"
"DigiByte
(DGB)";"0.034345
USD"
"Enjin Coin
(ENJ)";"0.058432
USD"
"Mercury
(MER)";"0.114892
USD"
"NAGA
(NGC)";"0.275850
USD"
"Lisk
(LSK)";"4.89
USD"
"NEO
(NEO)";"32.20
USD"
"aelf
(ELF)";"0.567682
USD"
"QuarkChain
(QKC)";"0.067633
USD"
"Zeusshield
(ZSC)";"0.009518
USD"
"Waves
(WAVES)";"2.69
USD"
"MedicCoin
(MEDIC)";"0.049422
USD"
"YOYOW
(YOYOW)";"0.051341
USD"
"Cashaa
(CAS)";"0.027964
USD"
"WaBi
(WABI)";"0.331426
USD"

"EDUCare
(EKT)";"0.073605
USD"
"DigixDAO
(DGD)";"89.63
USD"
"PayPie
(PPP)";"0.226871
USD"
"Dentacoin
(DCN)";"0.000326
USD"
"Dent
(DENT)";"0.003770
USD"
"Quantum Resistant Ledger
(QRL)";"0.401778
USD"
